qr_id,manual_code,quest_id,act_id,loc_code,location_node_id,qr_mode,consumption_rule,physical_presence_required,print_label,placement_note,take_policy,print_batch,status
qr_a1_011,QR-A1-WOS-011-L2G6,quest_a1_011,act1,WOS,node_fort_west,unique_object,consume_once,true,WOS - Zapadny Ostrog,Разместить у игровой локации: WOS - Zapadny Ostrog.,single_use_story_object,pve72_v1,printed
qr_a1_012,QR-A1-MAG-012-N9D4,quest_a1_012,act1,MAG,node_spanish_magic,unique_object,consume_once,true,MAG - Charodeysky Ugol,Разместить у игровой локации: MAG - Charodeysky Ugol.,single_use_story_object,pve72_v1,printed
qr_a2_013,QR-A2-TRV-013-B4K8,quest_a2_013,act2,TRV,node_forest_dark,repeatable_scene,repeatable,true,TRV - Travnichya Roshcha,Разместить у игровой локации: TRV - Travnichya Roshcha.,leave_in_place_after_reward,pve72_v1,printed
qr_a2_014,QR-A2-SNP-014-C7M1,quest_a2_014,act2,SNP,node_village_barn,repeatable_scene,repeatable,true,SNP - Sennoy Posad,Разместить у игровой локации: SNP - Sennoy Posad.,leave_in_place_after_reward,pve72_v1,printed
qr_a2_015,QR-A2-OAT-015-F2P9,quest_a2_015,act2,OAT,node_field_oats,repeatable_scene,repeatable,true,OAT - Severnye Ovsy,Разместить у игровой локации: OAT - Severnye Ovsy.,leave_in_place_after_reward,pve72_v1,printed
qr_a2_016,QR-A2-SCI-016-G6R3,quest_a2_016,act2,SCI,node_science_barn,always_available_scene,always_available,true,SCI - Dvukhyarusnaya Manufaktura,Разместить у игровой локации: SCI - Dvukhyarusnaya Manufaktura.,leave_in_place_after_reward,pve72_v1,printed
qr_a2_017,QR-A2-MAG-017-H1V5,quest_a2_017,act2,MAG,node_spanish_magic,always_available_scene,always_available,true,MAG - Charodeysky Ugol,Разместить у игровой локации: MAG - Charodeysky Ugol.,leave_in_place_after_reward,pve72_v1,printed
qr_a2_018,QR-A2-EAZ-018-J4X8,quest_a2_018,act2,EAZ,node_fort_east,unique_object,consume_once,true,EAZ - Severnaya Zastava,Разместить у игровой локации: EAZ - Severnaya Zastava.,single_use_story_object,pve72_v1,printed
qr_a2_019,QR-A2-SCI-019-K9Z2,quest_a2_019,act2,SCI,node_science_barn,unique_object,consume_once,true,SCI - Dvukhyarusnaya Manufaktura,Разместить у игровой локации: SCI - Dvukhyarusnaya Manufaktura.,single_use_story_object,pve72_v1,printed
qr_a2_020,QR-A2-KTG-020-L3D7,quest_a2_020,act2,KTG,node_well_city,unique_object,consume_once,true,KTG - Kolodezny Torg,Разместить у игровой локации: KTG - Kolodezny Torg.,single_use_story_object,pve72_v1,printed
qr_a2_021,QR-A2-CHT-021-M8F4,quest_a2_021,act2,CHT,node_swamp_black,unique_object,consume_once,true,CHT - Chernaya Top,Разместить у игровой локации: CHT - Chernaya Top.,single_use_story_object,pve72_v1,printed
qr_a2_022,QR-A2-ZPR-022-N2H6,quest_a2_022,act2,ZPR,node_lake_mist,unique_object,consume_once,true,ZPR - Zerkalny Prud,Разместить у игровой локации: ZPR - Zerkalny Prud.,single_use_story_object,pve72_v1,printed
qr_a2_023,QR-A2-SNP-023-P7J1,quest_a2_023,act2,SNP,node_village_barn,unique_object,consume_once,true,SNP - Sennoy Posad,Разместить у игровой локации: SNP - Sennoy Posad.,single_use_story_object,pve72_v1,printed
qr_a2_024,QR-A2-MAG-024-R5L9,quest_a2_024,act2,MAG,node_spanish_magic,unique_object,consume_once,true,MAG - Charodeysky Ugol,Разместить у игровой локации: MAG - Charodeysky Ugol.,single_use_story_object,pve72_v1,printed
qr_a2_025,QR-A2-SDO-025-S1N3,quest_a2_025,act2,SDO,node_mountain_gray,unique_object,consume_once,true,SDO - Sery Dozor,Разместить у игровой локации: SDO - Sery Dozor.,single_use_story_object,pve72_v1,printed
qr_a2_026,QR-A2-WOS-026-T6Q8,quest_a2_026,act2,WOS,node_fort_west,unique_object,consume_once,true,WOS - Zapadny Ostrog,Разместить у игровой локации: WOS - Zapadny Ostrog.,single_use_story_object,pve72_v1,printed
qr_a3_027,QR-A3-TRV-027-B8R2,quest_a3_027,act3,TRV,node_forest_dark,repeatable_scene,repeatable,true,TRV - Travnichya Roshcha,Разместить у игровой локации: TRV - Travnichya Roshcha.,leave_in_place_after_reward,pve72_v1,printed
qr_a3_028,QR-A3-SNP-028-C3T9,quest_a3_028,act3,SNP,node_village_barn,repeatable_scene,repeatable,true,SNP - Sennoy Posad,Разместить у игровой локации: SNP - Sennoy Posad.,leave_in_place_after_reward,pve72_v1,printed
qr_a3_029,QR-A3-OAT-029-D7V4,quest_a3_029,act3,OAT,node_field_oats,repeatable_scene,repeatable,true,OAT - Severnye Ovsy,Разместить у игровой локации: OAT - Severnye Ovsy.,leave_in_place_after_reward,pve72_v1,printed
qr_a3_030,QR-A3-SCI-030-F1X6,quest_a3_030,act3,SCI,node_science_barn,always_available_scene,always_available,true,SCI - Dvukhyarusnaya Manufaktura,Разместить у игровой локации: SCI - Dvukhyarusnaya Manufaktura.,leave_in_place_after_reward,pve72_v1,printed
qr_a3_031,QR-A3-MAG-031-G9Z1,quest_a3_031,act3,MAG,node_spanish_magic,always_available_scene,always_available,true,MAG - Charodeysky Ugol,Разместить у игровой локации: MAG - Charodeysky Ugol.,leave_in_place_after_reward,pve72_v1,printed
qr_a3_032,QR-A3-EAZ-032-H4B8,quest_a3_032,act3,EAZ,node_fort_east,unique_object,consume_once,true,EAZ - Severnaya Zastava,Разместить у игровой локации: EAZ - Severnaya Zastava.,single_use_story_object,pve72_v1,printed
qr_a3_033,QR-A3-SDO-033-J2D5,quest_a3_033,act3,SDO,node_mountain_gray,unique_object,consume_once,true,SDO - Sery Dozor,Разместить у игровой локации: SDO - Sery Dozor.,single_use_story_object,pve72_v1,printed
qr_a3_034,QR-A3-KTG-034-K6F7,quest_a3_034,act3,KTG,node_well_city,unique_object,consume_once,true,KTG - Kolodezny Torg,Разместить у игровой локации: KTG - Kolodezny Torg.,single_use_story_object,pve72_v1,printed
qr_a3_035,QR-A3-CHT-035-L1H3,quest_a3_035,act3,CHT,node_swamp_black,unique_object,consume_once,true,CHT - Chernaya Top,Разместить у игровой локации: CHT - Chernaya Top.,single_use_story_object,pve72_v1,printed
qr_a3_036,QR-A3-ZPR-036-M5J9,quest_a3_036,act3,ZPR,node_lake_mist,unique_object,consume_once,true,ZPR - Zerkalny Prud,Разместить у игровой локации: ZPR - Zerkalny Prud.,single_use_story_object,pve72_v1,printed
qr_a3_037,QR-A3-SNP-037-N8L2,quest_a3_037,act3,SNP,node_village_barn,unique_object,consume_once,true,SNP - Sennoy Posad,Разместить у игровой локации: SNP - Sennoy Posad.,single_use_story_object,pve72_v1,printed
qr_a3_038,QR-A3-MAG-038-P3N6,quest_a3_038,act3,MAG,node_spanish_magic,unique_object,consume_once,true,MAG - Charodeysky Ugol,Разместить у игровой локации: MAG - Charodeysky Ugol.,single_use_story_object,pve72_v1,printed
qr_a3_039,QR-A3-SDO-039-R7Q4,quest_a3_039,act3,SDO,node_mountain_gray,unique_object,consume_once,true,SDO - Sery Dozor,Разместить у игровой локации: SDO - Sery Dozor.,single_use_story_object,pve72_v1,printed
qr_a3_040,QR-A3-WOS-040-S2T8,quest_a3_040,act3,WOS,node_fort_west,unique_object,consume_once,true,WOS - Zapadny Ostrog,Разместить у игровой локации: WOS - Zapadny Ostrog.,single_use_story_object,pve72_v1,printed
qr_a1_013,QR-A1-VSL-013-Y1M8,quest_a1_013,act1,VSL,node_village_east_shed,repeatable_scene,repeatable,true,VSL - Vostochnaya Sloboda,Разместить у игровой локации: VSL - Vostochnaya Sloboda.,leave_in_place_after_reward,pve72_v1,printed
qr_a1_014,QR-A1-SCI-014-Q6P2,quest_a1_014,act1,SCI,node_science_barn,always_available_scene,always_available,true,SCI - Dvukhyarusnaya Manufaktura,Разместить у игровой локации: SCI - Dvukhyarusnaya Manufaktura.,leave_in_place_after_reward,pve72_v1,printed
qr_a1_015,QR-A1-NSD-015-W9A4,quest_a1_015,act1,NSD,node_forest_south_garden,repeatable_scene,repeatable,true,NSD - Nizhny Sad,Разместить у игровой локации: NSD - Nizhny Sad.,leave_in_place_after_reward,pve72_v1,printed
qr_a1_016,QR-A1-CHT-016-L3S8,quest_a1_016,act1,CHT,node_swamp_black,unique_object,consume_once,true,CHT - Chernaya Top,Разместить у игровой локации: CHT - Chernaya Top.,single_use_story_object,pve72_v1,printed
qr_a1_017,QR-A1-SDO-017-Z5E1,quest_a1_017,act1,SDO,node_mountain_gray,unique_object,consume_once,true,SDO - Sery Dozor,Разместить у игровой локации: SDO - Sery Dozor.,single_use_story_object,pve72_v1,printed
qr_a1_018,QR-A1-VUT-018-X2N7,quest_a1_018,act1,VUT,node_mountain_west_alpine,unique_object,consume_once,true,VUT - Volchy Utes,Разместить у игровой локации: VUT - Volchy Utes.,single_use_story_object,pve72_v1,printed
qr_a1_019,QR-A1-SKR-019-J8V3,quest_a1_019,act1,SKR,node_mountain_north_alpine,unique_object,consume_once,true,SKR - Severny Kryazh,Разместить у игровой локации: SKR - Severny Kryazh.,single_use_story_object,pve72_v1,printed
qr_a1_020,QR-A1-ZPR-020-F4C9,quest_a1_020,act1,ZPR,node_lake_mist,unique_object,consume_once,true,ZPR - Zerkalny Prud,Разместить у игровой локации: ZPR - Zerkalny Prud.,single_use_story_object,pve72_v1,printed
qr_a2_027,QR-A2-NSD-027-V5P2,quest_a2_027,act2,NSD,node_forest_south_garden,repeatable_scene,repeatable,true,NSD - Nizhny Sad,Разместить у игровой локации: NSD - Nizhny Sad.,leave_in_place_after_reward,pve72_v1,printed
qr_a2_028,QR-A2-ZPR-028-X8S7,quest_a2_028,act2,ZPR,node_lake_mist,always_available_scene,always_available,true,ZPR - Zerkalny Prud,Разместить у игровой локации: ZPR - Zerkalny Prud.,leave_in_place_after_reward,pve72_v1,printed
qr_a2_029,QR-A2-LNZ-029-B3A6,quest_a2_029,act2,LNZ,node_lake_south_pond,repeatable_scene,repeatable,true,LNZ - Lunnaya Zavod,Разместить у игровой локации: LNZ - Lunnaya Zavod.,leave_in_place_after_reward,pve72_v1,printed
qr_a2_030,QR-A2-SKR-030-F7E2,quest_a2_030,act2,SKR,node_mountain_north_alpine,unique_object,consume_once,true,SKR - Severny Kryazh,Разместить у игровой локации: SKR - Severny Kryazh.,single_use_story_object,pve72_v1,printed
qr_a2_031,QR-A2-VUT-031-H4Y8,quest_a2_031,act2,VUT,node_mountain_west_alpine,unique_object,consume_once,true,VUT - Volchy Utes,Разместить у игровой локации: VUT - Volchy Utes.,single_use_story_object,pve72_v1,printed
qr_a2_032,QR-A2-RRE-032-M9K1,quest_a2_032,act2,RRE,node_res_river,unique_object,consume_once,true,RRE - River Residence,Разместить у игровой локации: RRE - River Residence.,single_use_story_object,pve72_v1,printed
qr_a2_033,QR-A2-FRE-033-Q2D6,quest_a2_033,act2,FRE,node_res_forest,unique_object,consume_once,true,FRE - Forest Residence,Разместить у игровой локации: FRE - Forest Residence.,single_use_story_object,pve72_v1,printed
qr_a2_034,QR-A2-HRE-034-W6N3,quest_a2_034,act2,HRE,node_res_hill,unique_object,consume_once,true,HRE - Hill Residence,Разместить у игровой локации: HRE - Hill Residence.,single_use_story_object,pve72_v1,printed
qr_a3_041,QR-A3-KTG-041-U3N7,quest_a3_041,act3,KTG,node_well_city,repeatable_scene,repeatable,true,KTG - Kolodezny Torg,Разместить у игровой локации: KTG - Kolodezny Torg.,leave_in_place_after_reward,pve72_v1,printed
qr_a3_042,QR-A3-TRV-042-X7R2,quest_a3_042,act3,TRV,node_forest_dark,always_available_scene,always_available,true,TRV - Travnichya Roshcha,Разместить у игровой локации: TRV - Travnichya Roshcha.,leave_in_place_after_reward,pve72_v1,printed
qr_a3_043,QR-A3-NSD-043-B1K6,quest_a3_043,act3,NSD,node_forest_south_garden,unique_object,consume_once,true,NSD - Nizhny Sad,Разместить у игровой локации: NSD - Nizhny Sad.,single_use_story_object,pve72_v1,printed
qr_a3_044,QR-A3-LNZ-044-D5P9,quest_a3_044,act3,LNZ,node_lake_south_pond,unique_object,consume_once,true,LNZ - Lunnaya Zavod,Разместить у игровой локации: LNZ - Lunnaya Zavod.,single_use_story_object,pve72_v1,printed
qr_a3_045,QR-A3-SDO-045-G8T4,quest_a3_045,act3,SDO,node_mountain_gray,unique_object,consume_once,true,SDO - Sery Dozor,Разместить у игровой локации: SDO - Sery Dozor.,single_use_story_object,pve72_v1,printed
qr_a3_046,QR-A3-NRE-046-J2F8,quest_a3_046,act3,NRE,node_res_north,unique_object,consume_once,true,NRE - North Residence,Разместить у игровой локации: NRE - North Residence.,single_use_story_object,pve72_v1,printed
qr_a3_047,QR-A3-RRE-047-L6Y1,quest_a3_047,act3,RRE,node_res_river,unique_object,consume_once,true,RRE - River Residence,Разместить у игровой локации: RRE - River Residence.,single_use_story_object,pve72_v1,printed
qr_a3_048,QR-A3-FRE-048-N9C5,quest_a3_048,act3,FRE,node_res_forest,unique_object,consume_once,true,FRE - Forest Residence,Разместить у игровой локации: FRE - Forest Residence.,single_use_story_object,pve72_v1,printed
qr_fa_001,QR-FA-MAG-001-R1K8,quest_fa_001,final_act,MAG,node_spanish_magic,repeatable_scene,repeatable,true,MAG - Charodeysky Ugol,Разместить у игровой локации: MAG - Charodeysky Ugol.,leave_in_place_after_reward,pve72_v1,printed
qr_fa_002,QR-FA-SCI-002-T6D3,quest_fa_002,final_act,SCI,node_science_barn,unique_object,consume_once,true,SCI - Dvukhyarusnaya Manufaktura,Разместить у игровой локации: SCI - Dvukhyarusnaya Manufaktura.,single_use_story_object,pve72_v1,printed
qr_fa_003,QR-FA-KTG-003-W2N7,quest_fa_003,final_act,KTG,node_well_city,unique_object,consume_once,true,KTG - Kolodezny Torg,Разместить у игровой локации: KTG - Kolodezny Torg.,single_use_story_object,pve72_v1,printed
qr_fa_004,QR-FA-SDO-004-Y8P4,quest_fa_004,final_act,SDO,node_mountain_gray,unique_object,consume_once,true,SDO - Sery Dozor,Разместить у игровой локации: SDO - Sery Dozor.,single_use_story_object,pve72_v1,printed
qr_fa_005,QR-FA-TRV-005-A3L9,quest_fa_005,final_act,TRV,node_forest_dark,unique_object,consume_once,true,TRV - Travnichya Roshcha,Разместить у игровой локации: TRV - Travnichya Roshcha.,single_use_story_object,pve72_v1,printed
qr_fa_006,QR-FA-CHT-006-C7V2,quest_fa_006,final_act,CHT,node_swamp_black,unique_object,consume_once,true,CHT - Chernaya Top,Разместить у игровой локации: CHT - Chernaya Top.,single_use_story_object,pve72_v1,printed
qr_fa_007,QR-FA-SKR-007-E1B6,quest_fa_007,final_act,SKR,node_mountain_north_alpine,unique_object,consume_once,true,SKR - Severny Kryazh,Разместить у игровой локации: SKR - Severny Kryazh.,single_use_story_object,pve72_v1,printed
qr_fa_008,QR-FA-VUT-008-H5Q1,quest_fa_008,final_act,VUT,node_mountain_west_alpine,unique_object,consume_once,true,VUT - Volchy Utes,Разместить у игровой локации: VUT - Volchy Utes.,single_use_story_object,pve72_v1,printed
