qr_id,manual_code,scenario_id,qr_mode,act_id,location_node_id,physical_presence_required,rate_limit,consumption_rule
qr_a3_034,QR-A3-KTG-034-K6F7,scn_a3_034,unique_object,act3,node_well_city,true,5_per_minute,consume_once
qr_a3_035,QR-A3-CHT-035-L1H3,scn_a3_035,unique_object,act3,node_swamp_black,true,5_per_minute,consume_once
qr_a3_036,QR-A3-ZPR-036-M5J9,scn_a3_036,unique_object,act3,node_lake_mist,true,5_per_minute,consume_once
qr_a3_037,QR-A3-SNP-037-N8L2,scn_a3_037,unique_object,act3,node_village_barn,true,5_per_minute,consume_once
qr_a3_038,QR-A3-MAG-038-P3N6,scn_a3_038,unique_object,act3,node_spanish_magic,true,5_per_minute,consume_once
qr_a3_039,QR-A3-SDO-039-R7Q4,scn_a3_039,unique_object,act3,node_mountain_gray,true,5_per_minute,consume_once
qr_a3_040,QR-A3-WOS-040-S2T8,scn_a3_040,unique_object,act3,node_fort_west,true,5_per_minute,consume_once
qr_a1_013,QR-A1-VSL-013-Y1M8,scn_a1_013,repeatable_scene,act1,node_village_east_shed,true,5_per_minute,repeatable
qr_a1_014,QR-A1-SCI-014-Q6P2,scn_a1_014,always_available_scene,act1,node_science_barn,true,5_per_minute,always_available
qr_a1_015,QR-A1-NSD-015-W9A4,scn_a1_015,repeatable_scene,act1,node_forest_south_garden,true,5_per_minute,repeatable
qr_a1_016,QR-A1-CHT-016-L3S8,scn_a1_016,unique_object,act1,node_swamp_black,true,5_per_minute,consume_once
qr_a1_017,QR-A1-SDO-017-Z5E1,scn_a1_017,unique_object,act1,node_mountain_gray,true,5_per_minute,consume_once
qr_a1_018,QR-A1-VUT-018-X2N7,scn_a1_018,unique_object,act1,node_mountain_west_alpine,true,5_per_minute,consume_once
qr_a1_019,QR-A1-SKR-019-J8V3,scn_a1_019,unique_object,act1,node_mountain_north_alpine,true,5_per_minute,consume_once
qr_a1_020,QR-A1-ZPR-020-F4C9,scn_a1_020,unique_object,act1,node_lake_mist,true,5_per_minute,consume_once
qr_a2_027,QR-A2-NSD-027-V5P2,scn_a2_027,repeatable_scene,act2,node_forest_south_garden,true,5_per_minute,repeatable
qr_a2_028,QR-A2-ZPR-028-X8S7,scn_a2_028,always_available_scene,act2,node_lake_mist,true,5_per_minute,always_available
qr_a2_029,QR-A2-LNZ-029-B3A6,scn_a2_029,repeatable_scene,act2,node_lake_south_pond,true,5_per_minute,repeatable
qr_a2_030,QR-A2-SKR-030-F7E2,scn_a2_030,unique_object,act2,node_mountain_north_alpine,true,5_per_minute,consume_once
qr_a2_031,QR-A2-VUT-031-H4Y8,scn_a2_031,unique_object,act2,node_mountain_west_alpine,true,5_per_minute,consume_once
qr_a2_032,QR-A2-RRE-032-M9K1,scn_a2_032,unique_object,act2,node_res_river,true,5_per_minute,consume_once
qr_a2_033,QR-A2-FRE-033-Q2D6,scn_a2_033,unique_object,act2,node_res_forest,true,5_per_minute,consume_once
qr_a2_034,QR-A2-HRE-034-W6N3,scn_a2_034,unique_object,act2,node_res_hill,true,5_per_minute,consume_once
qr_a3_041,QR-A3-KTG-041-U3N7,scn_a3_041,repeatable_scene,act3,node_well_city,true,5_per_minute,repeatable
qr_a3_042,QR-A3-TRV-042-X7R2,scn_a3_042,always_available_scene,act3,node_forest_dark,true,5_per_minute,always_available
qr_a3_043,QR-A3-NSD-043-B1K6,scn_a3_043,unique_object,act3,node_forest_south_garden,true,5_per_minute,consume_once
qr_a3_044,QR-A3-LNZ-044-D5P9,scn_a3_044,unique_object,act3,node_lake_south_pond,true,5_per_minute,consume_once
qr_a3_045,QR-A3-SDO-045-G8T4,scn_a3_045,unique_object,act3,node_mountain_gray,true,5_per_minute,consume_once
qr_a3_046,QR-A3-NRE-046-J2F8,scn_a3_046,unique_object,act3,node_res_north,true,5_per_minute,consume_once
qr_a3_047,QR-A3-RRE-047-L6Y1,scn_a3_047,unique_object,act3,node_res_river,true,5_per_minute,consume_once
qr_a3_048,QR-A3-FRE-048-N9C5,scn_a3_048,unique_object,act3,node_res_forest,true,5_per_minute,consume_once
qr_fa_001,QR-FA-MAG-001-R1K8,scn_fa_001,repeatable_scene,final_act,node_spanish_magic,true,5_per_minute,repeatable
qr_fa_002,QR-FA-SCI-002-T6D3,scn_fa_002,unique_object,final_act,node_science_barn,true,5_per_minute,consume_once
qr_fa_003,QR-FA-KTG-003-W2N7,scn_fa_003,unique_object,final_act,node_well_city,true,5_per_minute,consume_once
qr_fa_004,QR-FA-SDO-004-Y8P4,scn_fa_004,unique_object,final_act,node_mountain_gray,true,5_per_minute,consume_once
qr_fa_005,QR-FA-TRV-005-A3L9,scn_fa_005,unique_object,final_act,node_forest_dark,true,5_per_minute,consume_once
qr_fa_006,QR-FA-CHT-006-C7V2,scn_fa_006,unique_object,final_act,node_swamp_black,true,5_per_minute,consume_once
qr_fa_007,QR-FA-SKR-007-E1B6,scn_fa_007,unique_object,final_act,node_mountain_north_alpine,true,5_per_minute,consume_once
qr_fa_008,QR-FA-VUT-008-H5Q1,scn_fa_008,unique_object,final_act,node_mountain_west_alpine,true,5_per_minute,consume_once
